medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
4EE1F46354C254D6A62A581E53DE9DF4,97C92249E70EA236EB9CB4CD31D507A0,CMT,1,N,2013-10-12 10:46,2013-10-12 10:54,1,485,1.4,-73.998543,40.722675,-74.01432,40.716873
1AD349C9FBD91F87F7D9C33B23F6293D,0935FA242F419CFB70C1AD4E751E7B43,CMT,1,N,2013-10-08 19:35,2013-10-08 19:48,1,757,2.7,-73.987595,40.770569,-73.961861,40.805141
84F313D324DE749703136FA0DB8C04EB,9C18C48733459909AF608A4F04EB23DD,CMT,1,N,2013-10-12 22:17,2013-10-12 23:16,3,3529,0,-73.958313,40.713505,-73.964836,40.792671
0A6D02DD4753D00EB44ED6E121BC8D6F,1E68C0830B73658C43635CAD45ECFDFA,CMT,1,N,2013-10-09 7:47,2013-10-09 8:00,1,764,2.3,-73.945992,40.801342,-73.947495,40.775562
2A0FF26EFBEFE021508503413C3D2B74,1A5A51580F26998E6E3B213C2B3226D0,CMT,1,N,2013-10-09 23:26,2013-10-09 23:32,1,382,2.3,0,0,0,0
76128D27820DABC95F99B0151DF40AE8,6562999837DF4EBA2C71A8659D77C086,CMT,1,N,2013-10-10 14:54,2013-10-10 15:01,1,421,0.9,-73.952782,40.768028,-73.953873,40.777866
771F7C6B111D826443011F507FF07AF9,248AFC22CCE844E73D69912D9B82EF5D,CMT,1,N,2013-10-13 20:50,2013-10-13 20:54,1,207,1.2,-73.957779,40.776421,-73.966583,40.761932
A9BD3AE9E01FFD461AC564599728921A,442BE00622E3772A83910A8D93CCA2E6,CMT,1,N,2013-10-13 16:04,2013-10-13 16:12,3,446,1.1,-74.015968,40.717152,-74.006706,40.725765
6E80B49CDA301F79199DB7CC5356BF18,8A81FD28C26435F2557EB0492E288046,CMT,1,N,2013-10-09 8:58,2013-10-09 9:15,1,1018,1,-73.989769,40.756485,-73.976166,40.757038
D6D2CE7587CB2AAEF2F44B7FDD0CCB48,166A342130172768DBE02244B799F376,CMT,1,N,2013-10-07 16:14,2013-10-07 16:40,1,1559,7,-73.965004,40.806561,-73.99614,40.730015
03F679CA22ADDFA4860EB8840780F6AE,7484286F9E9B93B0875E5A662A46D589,CMT,1,N,2013-10-13 16:20,2013-10-13 16:41,1,1283,3.2,-73.947884,40.782894,-73.980202,40.757431
D2208A392A66100F6F2A4DC5D976EF50,B22235461A1DE4CCFAEC96514FB3C84A,CMT,1,N,2013-10-09 23:02,2013-10-09 23:13,1,674,3.1,-73.982193,40.756672,-73.947021,40.778938
558449972FE9624453BA659DA5A5A257,4AA31F240197F39862FFD31AFB4C55C9,CMT,1,N,2013-10-13 4:22,2013-10-13 4:36,1,795,5,-73.956779,40.721912,-74.002342,40.72942
3519845B181E2C0C603FF23A320A1718,DF46CE34589E2AA3251F4F55DC80C71A,CMT,1,N,2013-10-09 8:55,2013-10-09 9:08,1,763,1.1,-73.96978,40.753731,-73.985596,40.753242
558449972FE9624453BA659DA5A5A257,4AA31F240197F39862FFD31AFB4C55C9,CMT,1,N,2013-10-13 1:20,2013-10-13 1:25,1,315,0.8,-73.984497,40.732971,-73.999374,40.73856
BCAA9426D17BC7C96B204F9C75CC99C9,3588B0CDA69963062935250B3D43E9D4,CMT,1,N,2013-10-09 6:55,2013-10-09 7:21,1,1567,9.4,-73.970238,40.799274,-73.865349,40.770679
62D900B117D59380F11CC613C9189DBA,7950C8C7F9C1044B249413EF3FCADF8C,CMT,1,N,2013-10-09 10:39,2013-10-09 10:49,1,561,1.5,-73.956505,40.784142,-73.971107,40.797169
AF7386DF75DCB4EFFF15740F3F5A5722,25AC95644217526DEA8DFB4D5CF873AA,CMT,1,N,2013-10-08 16:24,2013-10-08 16:44,4,1217,3.5,-73.946236,40.77293,-73.974625,40.788303
107E625AA35CA5DC62273EFBEA91EA8E,9A6E4B4057F9F3B143FB51B83D3828AA,CMT,1,N,2013-10-13 22:51,2013-10-13 23:00,1,573,2.5,-73.994797,40.738659,-73.981148,40.768497
1AFD663ADBF9389725B8EA42474A9BBC,D2D0562697C3ED0149B8D5AFDEA8BCA4,CMT,1,N,2013-10-08 22:13,2013-10-08 22:25,1,735,3.1,-73.98967,40.747181,-73.951668,40.769733
0509E1F73EE41E40373D460E8CD13D8E,6DAC910F4ADDA8424ADACF55F5E7A85D,CMT,1,N,2013-10-08 17:57,2013-10-08 18:12,2,887,1.4,-73.986237,40.740547,-74.004929,40.749744
8F7888300ED94F70A1A253325164B994,FED36ECAEBB269972750877979935370,CMT,1,N,2013-10-08 18:07,2013-10-08 18:15,2,471,1.3,-73.9813,40.77861,-73.976311,40.793327
B976C2299905CE417E1B19AD6C903DD6,E3F771F4D3D392B59DD15835DAB010ED,CMT,1,N,2013-10-13 17:58,2013-10-13 18:18,2,1193,4.1,-73.977402,40.779369,-73.977402,40.779369
AC7A85219867AB060609BA214C124969,EBB1EF221B5CE8E5B4B5D8B54122C92A,CMT,1,N,2013-10-13 23:27,2013-10-13 23:38,1,679,2.4,-73.99115,40.73008,-73.997864,40.756237
0C3686C68E343E35D8C99777E430A2E9,79AD4905D4A725E1860A7453AE0C8DD4,CMT,1,N,2013-10-08 7:45,2013-10-08 8:28,1,2598,12.7,-73.885246,40.772835,-73.984825,40.756134
8D2A6E13D8A5EDEC3D8F9EE2504A9FB0,AB19F486B462D60E9C3CE345ACDAF70B,CMT,1,Y,2013-10-12 0:30,2013-10-12 0:40,1,546,2.7,-73.956192,40.694706,-73.956413,40.727074
84F313D324DE749703136FA0DB8C04EB,9C18C48733459909AF608A4F04EB23DD,CMT,1,N,2013-10-13 2:17,2013-10-13 2:24,1,433,0,-73.969879,40.763035,-73.948418,40.7826
84F313D324DE749703136FA0DB8C04EB,9C18C48733459909AF608A4F04EB23DD,CMT,1,N,2013-10-13 0:17,2013-10-13 0:37,2,1191,0,-73.992043,40.727478,-73.958313,40.772873
F72DDF5CDE6484C486FA8183C7178015,6270CA21F0F3013DE61039F74C6C225E,CMT,1,N,2013-10-11 8:48,2013-10-11 8:55,1,444,1,-73.977173,40.751923,-73.988861,40.750824
6D784958A5C58D80D5BDA4CD487B2ED3,7F343A4C661AD2F358D54363D8909FE8,CMT,1,N,2013-10-07 8:54,2013-10-07 8:59,1,271,0.7,-73.998192,40.745239,-74.005257,40.751339
DAA2A7CD61FA15E2AEE1D8641E3FF50A,48C0D7E229C99F44BEBA2E0734BFF86A,CMT,1,N,2013-10-13 14:34,2013-10-13 14:36,2,112,0.4,-73.987907,40.759708,-73.9841,40.765217
7B42640E2575D1C97848B1D1CCFA7307,74809FB2CFCFCE1D5A0FE52AAFD84F46,CMT,1,Y,2013-10-13 1:35,2013-10-13 1:45,1,570,2.2,-73.9972,40.736698,-73.983986,40.762112
9B0577A732EB4882DFB7DE28F4E1191E,381656D8D52DBF98B46D20A2B951B891,CMT,1,N,2013-10-07 21:01,2013-10-07 21:21,1,1211,4.4,-73.955856,40.776363,-73.997696,40.729004
57571F42EA3DDAFA6F9282DDA72588CF,2D885021EC7B7D339CFF4737E716ADAD,CMT,1,N,2013-10-11 22:19,2013-10-11 22:25,1,353,0.7,-73.99617,40.736374,-73.988907,40.737396
